x,y,z
20.956193668701523,152.0230310337631,204.0304209713908
4.461538461538453,36.11538461538457,43.73076923076914
19.908928976260608,150.94170418110576,202.92314667875758
20.966148675957108,152.01920267831852,204.00319832477797
10.961538461538462,59.42307692307692,93.53846153846155
19.864775974551108,150.8901709171295,202.8442874858468
21.01028531367917,151.8405453522379,203.6708238397888
221.09294939655658,241.61338132542375,241.9561719246255
122.38620448179498,185.67612044817838,204.202731092437
5.829697253241341,28.994995259963396,42.860513647612166
46.35077881620248,54.34724818276058,57.29055036344871
25.82250242482978,38.26058842547723,43.772065955383034
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.0,2.0,4.0
2.0,2.0,4.0
2.0,2.0,4.0
68.69766871165737,97.36344376278159,120.70101431492887
63.44279256365815,92.73591768962812,118.5272624314964
66.0838669036001,94.88380861046079,119.22660987786642
104.24355759559141,144.9360647144659,177.65572980860492
107.49518743667711,147.9105383879321,177.5803360351231
100.48539334922584,141.8736110549922,176.3801971796839
104.02330807273562,144.51162112864154,177.67655465503307
107.16609612869111,146.77766645329476,175.49067193602582
108.10826049945692,148.51968411027528,178.61300137380047
108.01244312467077,147.87507064514602,178.44244456152123
107.23840706074954,146.81532438876826,175.54888074308687
103.80254806051636,145.4209418723696,178.07151632351278
107.04782145343225,146.943043004195,175.55943030683892
105.46790239476343,146.73269818637436,179.0911349471257
109.02450892283989,148.54987803312366,177.48966491205533
108.65953822013005,148.36017335425558,180.0783531345735
107.49641240695843,147.32001437182257,176.01213560994464
106.04155700235489,146.052878137239,178.7973907239736
107.6346396020099,146.92389312120486,175.83470693116166
107.91556875634356,147.04446885969418,179.38240798502764
104.31386539574176,145.00013085759954,178.18445411719338
99.66263838592896,141.87939989653353,176.06270046559737
106.59727737342251,145.70763064216254,178.2031879210307
103.26927065135318,144.34700697677061,177.97498957429295
98.97769802614638,141.5634350166615,175.74168674698814
102.36947624133902,145.44218426549912,178.34298110461006
105.09643039186844,143.78819449807702,177.84369255958364
94.17811071733946,136.5133422950076,161.10865941585183
48.5803220587089,69.33372370753176,84.57864242236863
64.75217116690233,91.10277909363465,110.41234801831823
92.41912078532306,131.77490193687706,156.5444688332104
43.6741373664496,62.93424870348264,77.74401620554383
59.445513722218706,84.20496502750399,103.789068790562
92.18419624906286,132.00475516737478,156.80383604775955
45.88159876321615,64.34771367265515,78.84979942157543
63.767668571299446,87.7394484453013,106.06720311954176
96.08764679386908,142.43483489897835,166.41229516189932
75.63465442669361,107.84499955865297,129.65433842351757
89.32673136831981,125.63646057991636,149.48865324706776
95.5154345266435,141.54616829922355,165.34589272740797
91.98577257368743,131.7958114626948,155.87752087893347
85.6662745198339,122.23165647937532,145.607989565483
67.08778620312523,94.23790519267405,115.03043471834513
97.06114016848385,144.65493772909647,168.96237486871067
86.26214939587204,117.60056274906871,141.09584558776666
123.65331698311505,161.42397822366328,166.08473365764297
106.73239108627297,150.37818859271826,153.64997730963873
115.66405469770339,156.27431161448234,160.3094305249177
108.51290082028326,148.87486950037285,152.86053318419118
